row	awma_stream_sm_raw
P34_0_80_STREAM	sid=18 cta_assignments=6 distinct_cta_slots=2 global_accesses=19638 local_accesses=7048 param_local_accesses=0 cta_logical_sequence=10,45,133,160,175,186
P34_0_80_STREAM	sid=19 cta_assignments=5 distinct_cta_slots=2 global_accesses=17397 local_accesses=6216 param_local_accesses=0 cta_logical_sequence=11,46,144,157,169
P34_0_80_STREAM	sid=20 cta_assignments=5 distinct_cta_slots=2 global_accesses=15821 local_accesses=5360 param_local_accesses=0 cta_logical_sequence=12,47,152,177,196
P34_0_80_STREAM	sid=21 cta_assignments=5 distinct_cta_slots=2 global_accesses=16302 local_accesses=5976 param_local_accesses=0 cta_logical_sequence=13,48,73,139,156
P34_0_80_STREAM	sid=22 cta_assignments=8 distinct_cta_slots=2 global_accesses=16452 local_accesses=5816 param_local_accesses=0 cta_logical_sequence=14,49,75,162,163,193,199,210
P34_0_80_STREAM	sid=23 cta_assignments=7 distinct_cta_slots=2 global_accesses=18137 local_accesses=6680 param_local_accesses=0 cta_logical_sequence=15,50,83,108,176,187,214
P34_0_80_STREAM	sid=24 cta_assignments=9 distinct_cta_slots=2 global_accesses=20970 local_accesses=7400 param_local_accesses=0 cta_logical_sequence=16,51,72,86,128,131,137,171,221
P34_0_80_STREAM	sid=25 cta_assignments=6 distinct_cta_slots=2 global_accesses=18164 local_accesses=6672 param_local_accesses=0 cta_logical_sequence=17,52,79,93,198,203
P34_0_80_STREAM	sid=26 cta_assignments=8 distinct_cta_slots=2 global_accesses=21218 local_accesses=7496 param_local_accesses=0 cta_logical_sequence=18,53,81,94,98,120,200,207
P34_0_80_STREAM	sid=27 cta_assignments=6 distinct_cta_slots=2 global_accesses=15533 local_accesses=5472 param_local_accesses=0 cta_logical_sequence=19,54,88,104,154,181
P34_0_80_STREAM	sid=28 cta_assignments=8 distinct_cta_slots=2 global_accesses=24626 local_accesses=8832 param_local_accesses=0 cta_logical_sequence=20,55,96,103,109,166,222,223
P34_0_80_STREAM	sid=29 cta_assignments=8 distinct_cta_slots=2 global_accesses=20958 local_accesses=7376 param_local_accesses=0 cta_logical_sequence=21,56,100,118,136,180,216,219
P34_0_80_STREAM	sid=30 cta_assignments=5 distinct_cta_slots=2 global_accesses=17547 local_accesses=6680 param_local_accesses=0 cta_logical_sequence=22,57,107,125,204
P34_0_80_STREAM	sid=31 cta_assignments=7 distinct_cta_slots=2 global_accesses=18503 local_accesses=6560 param_local_accesses=0 cta_logical_sequence=23,58,112,122,130,158,213
P34_0_80_STREAM	sid=32 cta_assignments=5 distinct_cta_slots=2 global_accesses=19373 local_accesses=7040 param_local_accesses=0 cta_logical_sequence=24,59,119,141,191
P34_0_80_STREAM	sid=33 cta_assignments=7 distinct_cta_slots=2 global_accesses=18071 local_accesses=6304 param_local_accesses=0 cta_logical_sequence=25,60,129,147,148,190,195
P34_0_80_STREAM	sid=34 cta_assignments=5 distinct_cta_slots=2 global_accesses=20122 local_accesses=7520 param_local_accesses=0 cta_logical_sequence=26,61,135,159,205
P34_0_0_STREAM	sid=0 cta_assignments=5 distinct_cta_slots=2 global_accesses=17194 local_accesses=6216 param_local_accesses=0 cta_logical_sequence=27,62,144,158,168
P34_0_0_STREAM	sid=1 cta_assignments=6 distinct_cta_slots=2 global_accesses=19543 local_accesses=6792 param_local_accesses=0 cta_logical_sequence=28,63,148,183,194,219
P34_0_0_STREAM	sid=2 cta_assignments=7 distinct_cta_slots=2 global_accesses=17781 local_accesses=6200 param_local_accesses=0 cta_logical_sequence=29,64,74,146,157,177,198
P34_0_0_STREAM	sid=3 cta_assignments=7 distinct_cta_slots=2 global_accesses=20614 local_accesses=7144 param_local_accesses=0 cta_logical_sequence=30,65,77,163,180,201,217
P34_0_0_STREAM	sid=4 cta_assignments=9 distinct_cta_slots=2 global_accesses=20224 local_accesses=6920 param_local_accesses=0 cta_logical_sequence=31,66,81,96,104,176,178,185,204
P34_0_0_STREAM	sid=5 cta_assignments=9 distinct_cta_slots=2 global_accesses=18308 local_accesses=5944 param_local_accesses=0 cta_logical_sequence=32,67,70,85,114,129,137,147,188
P34_0_0_STREAM	sid=6 cta_assignments=7 distinct_cta_slots=2 global_accesses=20978 local_accesses=7264 param_local_accesses=0 cta_logical_sequence=33,68,75,93,162,191,200
P34_0_0_STREAM	sid=7 cta_assignments=8 distinct_cta_slots=2 global_accesses=19485 local_accesses=6416 param_local_accesses=0 cta_logical_sequence=34,69,83,98,107,118,182,203
P34_0_0_STREAM	sid=8 cta_assignments=8 distinct_cta_slots=2 global_accesses=20362 local_accesses=7152 param_local_accesses=0 cta_logical_sequence=0,35,72,86,130,133,159,189
P34_0_0_STREAM	sid=9 cta_assignments=6 distinct_cta_slots=2 global_accesses=18609 local_accesses=6672 param_local_accesses=0 cta_logical_sequence=1,36,78,92,190,197
P34_0_0_STREAM	sid=10 cta_assignments=8 distinct_cta_slots=2 global_accesses=17742 local_accesses=5696 param_local_accesses=0 cta_logical_sequence=2,37,84,99,115,125,150,212
P34_0_0_STREAM	sid=11 cta_assignments=6 distinct_cta_slots=2 global_accesses=17411 local_accesses=6192 param_local_accesses=0 cta_logical_sequence=3,38,88,105,153,187
P34_0_0_STREAM	sid=12 cta_assignments=5 distinct_cta_slots=2 global_accesses=17113 local_accesses=6200 param_local_accesses=0 cta_logical_sequence=4,39,95,111,214
P34_0_0_STREAM	sid=13 cta_assignments=7 distinct_cta_slots=2 global_accesses=20147 local_accesses=6904 param_local_accesses=0 cta_logical_sequence=5,40,100,117,136,173,216
P34_0_0_STREAM	sid=14 cta_assignments=5 distinct_cta_slots=2 global_accesses=14946 local_accesses=5600 param_local_accesses=0 cta_logical_sequence=6,41,108,124,211
P34_0_0_STREAM	sid=15 cta_assignments=7 distinct_cta_slots=2 global_accesses=19573 local_accesses=7176 param_local_accesses=0 cta_logical_sequence=7,42,112,121,126,208,221
P34_0_0_STREAM	sid=16 cta_assignments=5 distinct_cta_slots=2 global_accesses=17208 local_accesses=5840 param_local_accesses=0 cta_logical_sequence=8,43,120,142,195
P34_0_0_STREAM	sid=17 cta_assignments=5 distinct_cta_slots=2 global_accesses=19255 local_accesses=7160 param_local_accesses=0 cta_logical_sequence=9,44,127,151,220
