set_name	run_index	decode_index	control_decode_ms	fair_decode_ms	selected_control_sum_ms	selected_target_share	summed_local_saving_ms	observed_decode_saving_ms	realization_ratio	nonselected_up_proj_effect_ms
N4	2	1	13.69702434539795	13.635583877563477	0.3256319910287857	0.023773922190493478	0.09587198868393898	0.061440467834472656	0.6408594280548757	-0.44019197672605515
N4	2	2	13.699071884155273	13.619199752807617	0.32476799190044403	0.02370729890658357	0.10051199048757553	0.07987213134765625	0.7946527669007748	-0.4456319734454155
N4	2	3	13.69702434539795	13.633536338806152	0.3266559913754463	0.023848682979467666	0.10303999111056328	0.06348800659179688	0.6161491854524075	-0.440127968788147
N4	3	1	13.710335731506348	13.648896217346191	0.32767999172210693	0.023900216459987803	0.0971519909799099	0.06143951416015625	0.6324061250876614	-0.43622396886348724
N4	3	2	13.706239700317383	13.622271537780762	0.32255998998880386	0.02353380628396092	0.10239998996257782	0.0839681625366211	0.8200016676496487	-0.4472319632768631
N4	3	3	13.720576286315918	13.636608123779297	0.3246079906821251	0.023658480803453546	0.10239998996257782	0.0839681625366211	0.8200016676496487	-0.4437759630382061
N4	4	1	13.703167915344238	13.622271537780762	0.3266559913754463	0.023837990849522504	0.09523199126124382	0.08089637756347656	0.8494664082110676	-0.4350719638168812
N4	4	2	13.693951606750488	13.606911659240723	0.3246079906821251	0.02370447917474079	0.10035198926925659	0.08703994750976562	0.8673465084606032	-0.43830396234989166
N4	4	3	13.707263946533203	13.603839874267578	0.3256319910287857	0.023756162593713204	0.10239998996257782	0.103424072265625	1.010000804720991	-0.4445439763367176
N4	5	1	13.691904067993164	13.640704154968262	0.3256319910287857	0.023782812778392035	0.09603198990225792	0.051199913024902344	0.5331547651674614	-0.4342079684138298
N4	5	2	13.696000099182129	13.621248245239258	0.3235839903354645	0.023626167347559207	0.10444799065589905	0.0747518539428711	0.7156849401645166	-0.44393597543239594
N4	5	3	13.693951606750488	13.630880355834961	0.3235839903354645	0.023629701610450592	0.1013759896159172	0.06307125091552734	0.6221517654671992	-0.44438397139310837
N4	6	1	13.718976020812988	13.616127967834473	0.3266559913754463	0.023810522802859207	0.09727998822927475	0.10284805297851562	1.0572375146275486	-0.43987196683883667
N4	6	2	13.708288192749023	13.597696304321289	0.3246079906821251	0.02367968823808548	0.10342399030923843	0.11059188842773438	1.069305952101286	-0.44179196283221245
N4	6	3	13.718655586242676	13.600768089294434	0.3246399909257889	0.023664125750874884	0.101407989859581	0.11788749694824219	1.1625069889609316	-0.44761596620082855
N8	0	1	13.694975852966309	13.62063980102539	0.6502399817109108	0.047480184608727875	0.16691197454929352	0.07433605194091797	0.4453608085438146	-0.3649599701166153
N8	0	2	13.699071884155273	13.611007690429688	0.6526079848408699	0.047638846657611485	0.17046397551894188	0.08806419372558594	0.5166146891593543	-0.36614396795630455
N8	0	3	13.701567649841309	13.618176460266113	0.6512639820575714	0.04753207798562483	0.172031968832016	0.08339118957519531	0.4847424007372972	-0.3768959790468216
N8	1	1	13.715456008911133	13.619199752807617	0.6543359830975533	0.047707927660037085	0.16895997524261475	0.09625625610351562	0.5696985689379888	-0.3659839853644371
N8	1	2	13.713408470153809	13.615103721618652	0.6482559815049171	0.04727168908559801	0.16649597510695457	0.09830474853515625	0.5904331829763856	-0.36671997606754303
N8	1	3	13.725760459899902	13.629440307617188	0.6533119827508926	0.0475975072317164	0.17289597541093826	0.09632015228271484	0.5570988685756368	-0.3652479723095894
N8	2	1	13.721823692321777	13.603839874267578	0.6512639820575714	0.047461911525797734	0.1648639775812626	0.11798381805419922	0.7156434036419156	-0.3695039749145508
N8	2	2	13.717503547668457	13.601792335510254	0.6489919796586037	0.047311231041665146	0.1679999679327011	0.11571121215820312	0.6887573466951835	-0.3648959696292877
N8	2	3	13.719552040100098	13.611007690429688	0.6493119820952415	0.04732749146600447	0.1680319681763649	0.10854434967041016	0.6459743990886481	-0.3750399723649025
N8	3	1	13.718527793884277	13.591551780700684	0.6525439843535423	0.047566618966537105	0.1663999743759632	0.12697601318359375	0.7630771198119588	-0.36271996796131134
N8	3	2	13.713408470153809	13.596672058105469	0.6492159813642502	0.04734169355322708	0.160319983959198	0.11673641204833984	0.7281463555912635	-0.36505597084760666
N8	3	3	13.718527793884277	13.605888366699219	0.6504319831728935	0.04741266650076375	0.16607997193932533	0.1126394271850586	0.6782240258699562	-0.37331198528409004
N8	4	1	13.698176383972168	13.626784324645996	0.6533119827508926	0.04769335453406146	0.16121599078178406	0.07139205932617188	0.4428348514311183	-0.36691197752952576
N8	4	2	13.693951606750488	13.608223915100098	0.6512639820575714	0.04755851347806197	0.16691197082400322	0.08572769165039062	0.5136102055902532	-0.3625279664993286
N8	4	3	13.706239700317383	13.625791549682617	0.6525439843535423	0.04760926400101057	0.16767998039722443	0.08044815063476562	0.47977194680121316	-0.3665919750928879
N8	5	1	13.691200256347656	13.598719596862793	0.6512959897518158	0.047570408551277685	0.1656319834291935	0.09248065948486328	0.5583502507799052	-0.3659839704632759
N8	5	2	13.702143669128418	13.601792335510254	0.6492159813642502	0.04738061408792295	0.164863970130682	0.10035133361816406	0.608691720444552	-0.3687039688229561
N8	5	3	13.694975852966309	13.604864120483398	0.6492159813642502	0.0474054126370461	0.16169598326086998	0.09011173248291016	0.5572911006547988	-0.37545597553253174
N8	6	1	13.694975852966309	13.605888366699219	0.6533119827508926	0.0477045005237732	0.16486398503184319	0.08908748626708984	0.5403696037669037	-0.3624959737062454
N8	6	2	13.6878080368042	13.599743843078613	0.6502399817109108	0.047505048285490674	0.1597439907491207	0.08806419372558594	0.5512832959324993	-0.36614397168159485
N8	6	3	13.696000099182129	13.619296073913574	0.6495999842882156	0.047429905051403085	0.1629759781062603	0.07670402526855469	0.47064620295479176	-0.3680959716439247
N14A	0	1	13.714431762695312	13.605888366699219	1.1403519734740257	0.08314977924028193	0.27932798489928246	0.10854339599609375	0.3885876169379568	-0.2611519880592823
N14A	0	2	13.720576286315918	13.604864120483398	1.1369919702410698	0.08286765413600285	0.28335997089743614	0.11571216583251953	0.4083574877074019	-0.2587839812040329
N14A	0	3	13.717920303344727	13.629440307617188	1.1369919702410698	0.08288369848335148	0.28233597055077553	0.08847999572753906	0.31338548735017363	-0.26044798269867897
N14A	1	1	13.69331169128418	13.593600273132324	1.1376639679074287	0.08308172584952946	0.2818239741027355	0.09971141815185547	0.35380743767209416	-0.2587839812040329
N14A	1	2	13.685759544372559	13.58233642578125	1.1346239671111107	0.08290544367905808	0.28038397058844566	0.1034231185913086	0.36886245092489806	-0.26054397970438004
