condition	set_name	decode_index	median_ms	min_ms	max_ms	cv	samples_ms
CONTROL_N14A	N14A	2	13.699071884155273	13.685759544372559	13.720576286315918	0.0008240812779619505	[13.720576286315918, 13.685759544372559, 13.698047637939453, 13.699071884155273, 13.709312438964844, 13.686783790588379, 13.700096130371094]
CONTROL_N14A	N14A	3	13.704192161560059	13.689920425415039	13.717920303344727	0.0006070067697206392	[13.717920303344727, 13.708288192749023, 13.704192161560059, 13.69702434539795, 13.706239700317383, 13.689920425415039, 13.699071884155273]
FAIR_N14A	N14A	0	27.029504776000977	26.934207916259766	27.158559799194336	0.0028126776350613273	[27.158559799194336, 26.995136260986328, 27.120607376098633, 27.098112106323242, 26.981184005737305, 27.029504776000977, 26.934207916259766]
FAIR_N14A	N14A	1	13.594623565673828	13.58233642578125	13.611007690429688	0.0006855784663592067	[13.605888366699219, 13.593600273132324, 13.611007690429688, 13.586432456970215, 13.595647811889648, 13.594623565673828, 13.58233642578125]
FAIR_N14A	N14A	2	13.590527534484863	13.58233642578125	13.607935905456543	0.0006301699599746595	[13.604864120483398, 13.58233642578125, 13.607935905456543, 13.58950424194336, 13.590527534484863, 13.588800430297852, 13.596672058105469]
FAIR_N14A	N14A	3	13.600768089294434	13.593855857849121	13.629440307617188	0.0010093801612127357	[13.629440307617188, 13.594623565673828, 13.623552322387695, 13.593855857849121, 13.600768089294434, 13.594047546386719, 13.601792335510254]
CONTROL_N28	N28	0	27.30803108215332	27.1144962310791	27.397119522094727	0.003575479128601304	[27.31996726989746, 27.30803108215332, 27.397119522094727, 27.1144962310791, 27.341407775878906, 27.228160858154297, 27.14521598815918]
CONTROL_N28	N28	1	13.696000099182129	13.68883228302002	13.703167915344238	0.0003490546232784841	[13.68883228302002, 13.696000099182129, 13.689855575561523, 13.70041561126709, 13.694975852966309, 13.703167915344238, 13.696000099182129]
CONTROL_N28	N28	2	13.699071884155273	13.689855575561523	13.7042236328125	0.00036952621402964764	[13.690879821777344, 13.695039749145508, 13.689855575561523, 13.7042236328125, 13.699071884155273, 13.702143669128418, 13.699071884155273]
CONTROL_N28	N28	3	13.699071884155273	13.693951606750488	13.707391738891602	0.0003040832210780695	[13.699071884155273, 13.694975852966309, 13.696000099182129, 13.700096130371094, 13.693951606750488, 13.707391738891602, 13.699071884155273]
FAIR_N28	N28	0	27.228160858154297	27.180927276611328	27.263999938964844	0.0011216818396158137	[27.259904861450195, 27.183103561401367, 27.233184814453125, 27.220895767211914, 27.180927276611328, 27.263999938964844, 27.228160858154297]
FAIR_N28	N28	1	13.57107162475586	13.559807777404785	13.605152130126953	0.001118244711395149	[13.56390380859375, 13.57209587097168, 13.561856269836426, 13.605152130126953, 13.57107162475586, 13.587455749511719, 13.559807777404785]
FAIR_N28	N28	2	13.57107162475586	13.56287956237793	13.593631744384766	0.0007442644829723765	[13.575167655944824, 13.566975593566895, 13.57107162475586, 13.593631744384766, 13.56287956237793, 13.579263687133789, 13.56287956237793]
FAIR_N28	N28	3	13.58028793334961	13.560895919799805	13.617471694946289	0.001283813646500421	[13.591551780700684, 13.58028793334961, 13.575167655944824, 13.617471694946289, 13.560895919799805, 13.587455749511719, 13.56595230102539]
CONTROL_N14B	N14B	0	26.998783111572266	26.8703670501709	27.091968536376953	0.002357732923997094	[26.989280700683594, 27.091968536376953, 26.8703670501709, 26.9619197845459, 27.038719177246094, 27.014175415039062, 26.998783111572266]
CONTROL_N14B	N14B	1	13.694975852966309	13.686783790588379	13.702143669128418	0.0003727818953159979	[13.694975852966309, 13.699071884155273, 13.698047637939453, 13.686783790588379, 13.68883228302002, 13.694975852966309, 13.702143669128418]
CONTROL_N14B	N14B	2	13.694975852966309	13.686783790588379	13.706239700317383	0.00044468120634171395	[13.702143669128418, 13.706239700317383, 13.686783790588379, 13.692928314208984, 13.691360473632812, 13.694975852966309, 13.694975852966309]
CONTROL_N14B	N14B	3	13.698047637939453	13.685952186584473	13.709312438964844	0.0004815339555115528	[13.702143669128418, 13.699071884155273, 13.709312438964844, 13.696000099182129, 13.694975852966309, 13.698047637939453, 13.685952186584473]
FAIR_N14B	N14B	0	26.974016189575195	26.828800201416016	27.092992782592773	0.0029342761404788894	[27.067392349243164, 26.974016189575195, 26.96396827697754, 27.092992782592773, 27.002880096435547, 26.972095489501953, 26.828800201416016]
FAIR_N14B	N14B	1	13.592576026916504	13.577216148376465	13.613056182861328	0.0008087947256828399	[13.613056182861328, 13.592576026916504, 13.577216148376465, 13.58233642578125, 13.59382438659668, 13.595040321350098, 13.582783699035645]
FAIR_N14B	N14B	2	13.588479995727539	13.583359718322754	13.606911659240723	0.0005678667334614686	[13.606911659240723, 13.588479995727539, 13.585408210754395, 13.596672058105469, 13.596672058105469, 13.587455749511719, 13.583359718322754]
FAIR_N14B	N14B	3	13.60204792022705	13.594976425170898	13.616127967834473	0.0005012312555128837	[13.616127967834473, 13.596672058105469, 13.605279922485352, 13.606911659240723, 13.594976425170898, 13.60204792022705, 13.597760200500488]
