pattern	point	mode	repetition	step	active_bytes	selected_experts	step_ms	point_id	allocated_bytes	migration_count	migration_bytes	migration_time_ns	gpu_fault_events
D2	NEAR_CAPACITY	M0	repeat	14	15225323520		23.6006	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M0	repeat	15	16240345088		25.176	D2_NEAR_CAPACITY_M0	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	0	1015021568		46.2038	D2_NEAR_CAPACITY_M1	16240345088	486	1015087104	42890324	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	1	2030043136		47.7382	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42918547	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	2	3045064704		49.3744	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43026546	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	3	4060086272		50.9088	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43042036	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	4	5075107840		52.3207	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42995475	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	5	6090129408		53.8435	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42935215	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	6	7105150976		55.5435	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43026638	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	7	8120172544		57.0539	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43052884	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	8	9135194112		58.5543	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42965618	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	9	10150215680		60.1656	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43037685	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	10	11165237248		61.7879	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42999442	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	11	12180258816		63.4458	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43034996	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	12	13195280384		64.9156	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42996340	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	13	14210301952		66.5161	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42982709	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	14	15225323520		68.0672	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	43027474	UNAVAILABLE
D2	NEAR_CAPACITY	M1	cold	15	16240345088		69.5785	D2_NEAR_CAPACITY_M1	16240345088	484	1015021568	42985873	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	0	1015021568		2.35539	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	1	2030043136		3.96931	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	2	3045064704		5.50566	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	3	4060086272		7.07645	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	4	5075107840		8.5863	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	5	6090129408		10.1762	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	6	7105150976		11.7738	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	7	8120172544		13.3464	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	8	9135194112		14.8429	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	9	10150215680		16.4837	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	10	11165237248		18.0583	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	11	12180258816		19.5943	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	12	13195280384		21.1347	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	13	14210301952		22.7896	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	14	15225323520		24.275	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	NEAR_CAPACITY	M1	repeat	15	16240345088		25.8256	D2_NEAR_CAPACITY_M1	16240345088	0	0	0	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	0	1174405120		158.849	D2_MILD_OVERSUB_M0	18790481920	22115	1174470656	73905877	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	1	2348810240		162.949	D2_MILD_OVERSUB_M0	18790481920	51360	1174405120	106423283	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	2	3523215360		176.531	D2_MILD_OVERSUB_M0	18790481920	55862	1174405120	110332505	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	3	4697620480		183.321	D2_MILD_OVERSUB_M0	18790481920	60478	1174405120	115320593	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	4	5872025600		161.43	D2_MILD_OVERSUB_M0	18790481920	40728	1174405120	93763051	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	5	7046430720		178.928	D2_MILD_OVERSUB_M0	18790481920	53898	1174405120	108044877	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	6	8220835840		178.606	D2_MILD_OVERSUB_M0	18790481920	52856	1174405120	106975697	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	7	9395240960		170.269	D2_MILD_OVERSUB_M0	18790481920	44862	1174405120	98273649	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	8	10569646080		178.096	D2_MILD_OVERSUB_M0	18790481920	48126	1174405120	101501916	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	9	11744051200		201.07	D2_MILD_OVERSUB_M0	18790481920	67180	1174405120	122644402	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	10	12918456320		191.141	D2_MILD_OVERSUB_M0	18790481920	55996	1174405120	110519251	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	11	14092861440		174.073	D2_MILD_OVERSUB_M0	18790481920	42298	1174405120	95268656	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	12	15267266560		203.397	D2_MILD_OVERSUB_M0	18790481920	63320	1174405120	118593061	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	13	16441671680		179.834	D2_MILD_OVERSUB_M0	18790481920	42652	1228931072	97699081	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	14	17616076800		2958.25	D2_MILD_OVERSUB_M0	18790481920	355027	35232284672	1793478919	UNAVAILABLE
D2	MILD_OVERSUB	M0	cold	15	18790481920		3228.23	D2_MILD_OVERSUB_M0	18790481920	377566	37581094912	1909242712	UNAVAILABLE
D2	MILD_OVERSUB	M0	repeat	0	1174405120		206.227	D2_MILD_OVERSUB_M0	18790481920	24153	2348810240	119808390	UNAVAILABLE
