phase	utc	mem_available_kb	swap_free_kb	memory_psi_full_avg10	io_psi_full_avg10	pswpin	pswpout	cpu_iowait_ticks	cpu_total_ticks	loadavg_1	loadavg_5	loadavg_15	c12_simulator_count	c12_worker_rss_kb	swap_in_mib_s	swap_out_mib_s	cpu_iowait_pct
batch_running	2026-09-08T08:15:59+00:00	201442660	24	0.0	0.0	2998443	8769946	1111518403	285285206198	603.92	551.76	518.98	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000000	0.000000	0.0004
independent_live_monitor	2026-09-08T08:16:05+00:00	201037960	28	0.0	0.0	2998444	8769946	1111518416	285285531123	604.08	552.66	519.44	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000651	0.000000	0.0040
batch_running	2026-09-08T08:16:13+00:00	201326924	40	0.0	0.0	2998449	8769946	1111518418	285285945046	603.11	554.14	520.28	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.002441	0.000000	0.0005
batch_running	2026-09-08T08:16:29+00:00	201406048	52	0.0	0.0	2998452	8769946	1111518421	285286740350	605.64	557.09	521.79	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000732	0.000000	0.0004
independent_live_monitor	2026-09-08T08:16:36+00:00	201344944	56	0.0	0.0	2998453	8769946	1111518422	285287097840	584.51	554.21	521.23	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000558	0.000000	0.0003
batch_running	2026-09-08T08:16:43+00:00	201398932	60	0.18	0.0	2998454	8769946	1111518432	285287479876	561.49	549.94	520.03	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000558	0.000000	0.0026
batch_running	2026-09-08T08:16:59+00:00	201459988	72	0.03	0.0	2998456	8769946	1111518438	285288274375	470.59	530.61	514.19	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000488	0.000000	0.0008
independent_live_monitor	2026-09-08T08:17:07+00:00	201107668	88	0.01	0.0	2998460	8769946	1111518440	285288664956	415.18	516.85	509.90	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.001953	0.000000	0.0005
batch_running	2026-09-08T08:17:13+00:00	201353368	88	0.0	0.0	2998460	8769946	1111518442	285289014583	384.90	508.89	507.36	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000000	0.000000	0.0006
batch_running	2026-09-08T08:17:29+00:00	201330812	116	0.0	0.0	2998467	8769946	1111518476	285289809359	307.47	485.69	499.79	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.001709	0.000000	0.0043
independent_live_monitor	2026-09-08T08:17:37+00:00	201402968	120	0.0	0.0	2998468	8769946	1111518478	285290232831	265.80	470.90	494.83	8	1130907:846984;1130953:438272;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000488	0.000000	0.0005
batch_running	2026-09-08T08:17:43+00:00	201408508	120	0.0	0.0	2998468	8769946	1111518482	285290548299	247.48	463.69	492.37	8	1130907:846984;1130953:442368;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000000	0.000000	0.0013
batch_running	2026-09-08T08:17:59+00:00	201410740	124	0.0	0.0	2998469	8769946	1111518485	285291343267	200.47	442.71	485.04	8	1130907:846984;1130953:442368;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000244	0.000000	0.0004
independent_live_monitor	2026-09-08T08:18:08+00:00	201186220	124	0.0	0.0	2998469	8769946	1111518487	285291799322	203.66	435.23	482.14	8	1130907:846984;1130953:442368;1162513:557056;1162534:577536;1162615:380928;1162625:368640;1176172:458752;1176188:417792	0.000000	0.000000	0.0004
