metric	disabled	ideal	generic	generic_vs_ideal_ratio
vm_translation_requester_l1_service_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	10	NOT_AVAILABLE
vm_translation_requester_l1_service_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	939330060	NOT_AVAILABLE
vm_translation_requester_l2_queue_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	45	NOT_AVAILABLE
vm_translation_requester_l2_queue_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	434661	NOT_AVAILABLE
vm_translation_requester_l2_service_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	80	NOT_AVAILABLE
vm_translation_requester_l2_service_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	99699280	NOT_AVAILABLE
vm_translation_requester_latency_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3113	NOT_AVAILABLE
vm_translation_requester_latency_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	1057797033	NOT_AVAILABLE
vm_translation_requester_mshr_wait_cycles_max	NOT_AVAILABLE	NOT_AVAILABLE	3023	NOT_AVAILABLE
vm_translation_requester_mshr_wait_cycles_total	NOT_AVAILABLE	NOT_AVAILABLE	18333032	NOT_AVAILABLE
vm_translation_stall_cycles	0	0	1057797033	NOT_AVAILABLE
vm_translation_waiter_registrations	NOT_AVAILABLE	NOT_AVAILABLE	56467	NOT_AVAILABLE
vm_translation_waiter_wakeups	NOT_AVAILABLE	NOT_AVAILABLE	56467	NOT_AVAILABLE
vm_translation_walk_completions	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_translation_walk_starts	NOT_AVAILABLE	NOT_AVAILABLE	22783	NOT_AVAILABLE
vm_translation_walkers_active	NOT_AVAILABLE	NOT_AVAILABLE	0	NOT_AVAILABLE
