budget_name	run_index	decode_index	direct_up_saving_ms	gate_saving_ms	down_saving_ms	total_ffn_projection_saving_ms	mlp_top_saving_ms	mlp_internal_residual_ms	self_attn_saving_ms	norm_saving_ms	final_stage_saving_ms	observed_decode_saving_ms	accounted_toplevel_saving_ms	unexplained_residual_ms	negative_offset_from_direct_up_ms	measured_non_up_offset_ms	localized_offset_fraction
BFULL	1	2	0.5768319517374039	-0.16393603384494781	-0.022655978798866272	0.3902399390935898	0.36812804639339447	-0.022111892700195312	-0.5461119711399078	0.06905600428581238	-0.002048015594482422	-0.11571311950683594	-0.11097593605518341	-0.004737183451652527	0.6925450712442398	0.6878078877925873	0.9931597470715637
BFULL	1	3	0.5857919678092003	-0.1462080404162407	-0.028864003717899323	0.41071992367506027	0.4248000383377075	0.014080114662647247	-0.5043199956417084	0.08035200741142035	0.0005120197311043739	0.010240554809570312	0.0013440698385238647	0.008896484971046448	0.57555141299963	0.5844478979706764	1.0154573245241119
BFULL	2	1	0.5969919487833977	-0.07158401608467102	-0.031296007335186005	0.49411192536354065	0.5249599665403366	0.03084804117679596	-0.2367679327726364	0.11094401217997074	0.00115203857421875	0.498687744140625	0.4002880845218897	0.09839965961873531	0.09830420464277267	0.196703864261508	2.000971016207389
BFULL	2	2	0.5954239666461945	-0.13353605568408966	-0.03945600241422653	0.42243190854787827	0.45411205291748047	0.0316801443696022	-0.27638399600982666	0.13977600634098053	0.0021439632400870323	0.4147205352783203	0.31964802648872137	0.09507250878959894	0.18070343136787415	0.2757759401574731	1.5261245349350967
BFULL	2	3	0.5992319546639919	-0.1467200443148613	-0.022047944366931915	0.4304639659821987	0.449984073638916	0.0195201076567173	-0.1730879843235016	0.14998401049524546	-0.0013440083712339401	0.4814720153808594	0.42553609143942595	0.05593592394143343	0.11775993928313255	0.17369586322456598	1.4749995990312594
BFULL	3	1	0.5717119500041008	-0.13670405745506287	-0.04217600077390671	0.3928318917751312	0.3812800347805023	-0.011551856994628906	-0.534143939614296	0.05740800499916077	0.0001920461654663086	-0.1327037811279297	-0.09526385366916656	-0.03743992745876312	0.7044157311320305	0.6669758036732674	0.9468496715730704
BFULL	3	2	0.5758079588413239	-0.15568003803491592	-0.027295999228954315	0.3928319215774536	0.36710411310195923	-0.025727808475494385	-0.6033279895782471	0.0685120141133666	-6.398465484380722e-05	-0.17283058166503906	-0.16777584701776505	-0.005054734647274017	0.7486385405063629	0.7435838058590889	0.993248097214104
BFULL	3	3	0.5668159648776054	-0.1547520011663437	-0.028544001281261444	0.3835199624300003	0.3558400124311447	-0.02767994999885559	-0.6322879493236542	0.04451199807226658	-3.2067298889160156e-05	-0.2602558135986328	-0.23196800611913204	-0.02828780747950077	0.8270717784762383	0.7987839709967375	0.9657976390735795
BFULL	4	1	0.5583359599113464	-0.24604805558919907	-0.04294399172067642	0.26934391260147095	0.2581440657377243	-0.011199846863746643	-0.5996479839086533	0.05894400458782911	0.002048015594482422	-0.28537559509277344	-0.2805118979886174	-0.004863697104156017	0.8437115550041199	0.8388478578999639	0.9942353555841341
BFULL	4	2	0.574303962290287	-0.18089602887630463	-0.027199983596801758	0.36620794981718063	0.34265609085559845	-0.023551858961582184	-0.5880640298128128	0.07996800448745489	0.0017600059509277344	-0.16281509399414062	-0.16367992851883173	0.0008648345246911049	0.7371190562844276	0.7379838908091187	1.0011732630126948
BFULL	4	3	0.5850239470601082	-0.1828160509467125	-0.0305279940366745	0.3716799020767212	0.35670408606529236	-0.014975816011428833	-0.7010239958763123	0.0206399941816926	-0.0012160465121269226	-0.39078521728515625	-0.3248959621414542	-0.06588925514370203	0.9758091643452644	0.9099199092015624	0.9324773146725758
BFULL	5	1	0.5811839550733566	-0.08572805672883987	-0.030336007475852966	0.4651198908686638	0.4807680696249008	0.01564817875623703	-0.4026559293270111	0.06918400432914495	0.0038719698786735535	0.1689586639404297	0.15116811450570822	0.01779054943472147	0.41222529113292694	0.4300158405676484	1.043157345794644
