condition	budget_name	layer	category	decode_index	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
CONTROL_BFULL	BFULL	2	mlp	0	0.2627519965171814	0.26182401180267334	0.2662400007247925	0.006708344261527564	[0.26310399174690247, 0.26214399933815, 0.2662400007247925, 0.26214399933815, 0.26182401180267334, 0.2661759853363037, 0.2627519965171814]	9d2364762e2f758fe3a74a08daf52c733b3c6c6a44ca0c5ba446d6235903ff7c	fe7ebcda6ca62b134eafc463e1dff24758704d518a9c44f6bb470ce96a73e084
CONTROL_BFULL	BFULL	2	mlp	1	0.23347200453281403	0.2314240038394928	0.23449599742889404	0.003970216653036507	[0.23449599742889404, 0.23244799673557281, 0.23347200453281403, 0.2314240038394928, 0.23347200453281403, 0.23244799673557281, 0.23347200453281403]	6d7fb6ecc82a1ac1629524618b7e6702fb83cb9e8a10dad449ba4b6828075d4a	a3819453ab34e9388fd194e5f87b34bc13bcf28d589d351a511c5ce2b7c2ba04
CONTROL_BFULL	BFULL	2	mlp	2	0.23244799673557281	0.2314240038394928	0.23347200453281403	0.003086939013261317	[0.2314240038394928, 0.23244799673557281, 0.23244799673557281, 0.23347200453281403, 0.2314240038394928, 0.23244799673557281, 0.2314240038394928]	1eabc51ddc487bf718ae82d3e1bd9fbfe64b0ed81b48526767f83c714a939d3a	f3b15affe0cba4319833c18cc9c15d41c18ebdb162db4636f4a434b05d76afb9
CONTROL_BFULL	BFULL	2	mlp	3	0.23244799673557281	0.2314240038394928	0.23244799673557281	0.001992599709472532	[0.2314240038394928, 0.23244799673557281, 0.23244799673557281, 0.23244799673557281, 0.2314240038394928, 0.23244799673557281, 0.23244799673557281]	ec2b80502f212d82f905bbadb8a0690524d8f55de1b02a458a27cd15c83ff4ff	0603c6363428cf66a48cbf22292a571047eb4090d589471e9cdc7e9f95096ce6
CONTROL_BFULL	BFULL	3	input_layernorm	0	0.015359999611973763	0.015231999568641186	0.015359999611973763	0.0029195359177169237	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015231999568641186, 0.015359999611973763, 0.015359999611973763]	f76fb6a0b4662e31d75980d2b6eb920c3587b01780645378ac2aaf6722960808	0dabd5f5707f807dd0d023c6f44edf400a88aaf7aeec2293b3bf1d3d542ce59d
CONTROL_BFULL	BFULL	3	input_layernorm	1	0.016383999958634377	0.015359999611973763	0.016383999958634377	0.021866855427128355	[0.015359999611973763, 0.016383999958634377, 0.016383999958634377, 0.016383999958634377, 0.01635199971497059, 0.016383999958634377, 0.01635199971497059]	a80c108d047aa2005e5ef1077290634008682405ed0e33718a5a7eda14a26dd8	b8f76ef24de3b6003c39697430531dcaa9db6866534ef134cb743fd5bdf011b4
CONTROL_BFULL	BFULL	3	input_layernorm	2	0.015359999611973763	0.015359999611973763	0.015359999611973763	0.0	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763]	89f5c59ea6420fec310950fab5d81b11e83ce37d4c02d6928aa446de8c1a6215	3993f6d2af6d77143288c9ee29593ea89ae8eca2f2b1d81e4aaed6d9589b1af6
CONTROL_BFULL	BFULL	3	input_layernorm	3	0.015359999611973763	0.014336000196635723	0.015359999611973763	0.02355277301203562	[0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.014336000196635723, 0.015359999611973763, 0.015359999611973763]	c8027b2fdcb210ce057ec6642974bf9cfe06068e22e755e08ca866e89754f29a	8132cb9e86d6dba143b4131aecc6b8248bb0e7d913abf981fc0e05730d20005c
CONTROL_BFULL	BFULL	3	self_attn	0	0.24473600089550018	0.23756800591945648	0.2553600072860718	0.027385372073909453	[0.2553600072860718, 0.24371199309825897, 0.2549760043621063, 0.24473600089550018, 0.23756800591945648, 0.25225600600242615, 0.2396479994058609]	0dabd5f5707f807dd0d023c6f44edf400a88aaf7aeec2293b3bf1d3d542ce59d	5968ea42e7d0b4e716eeeae417261f095e9631a3c10f9e1d6ad41cbbe0ee2f31
CONTROL_BFULL	BFULL	3	self_attn	1	0.17347200214862823	0.1730560064315796	0.1740799993276596	0.002445237332228922	[0.1730560064315796, 0.1740799993276596, 0.1730560064315796, 0.17350399494171143, 0.17347200214862823, 0.1740799993276596, 0.1730560064315796]	b8f76ef24de3b6003c39697430531dcaa9db6866534ef134cb743fd5bdf011b4	16248ccf6d6a2cb099a123210b67c4cd4bc5bb62b56f332ccd5b4ed524502bcb
CONTROL_BFULL	BFULL	3	self_attn	2	0.1740799993276596	0.1730560064315796	0.17510400712490082	0.003144250943046926	[0.1740799993276596, 0.17510400712490082, 0.1740799993276596, 0.1740799993276596, 0.1740799993276596, 0.1730560064315796, 0.1740799993276596]	3993f6d2af6d77143288c9ee29593ea89ae8eca2f2b1d81e4aaed6d9589b1af6	27b201e6b1b981b0182b5bf65b128835ca039e70d00a8f4f7f8f93a64e10deed
CONTROL_BFULL	BFULL	3	self_attn	3	0.1740799993276596	0.1730560064315796	0.17510400712490082	0.004895849040506356	[0.1740799993276596, 0.17510400712490082, 0.17510400712490082, 0.1730560064315796, 0.1740799993276596, 0.17510400712490082, 0.1730560064315796]	8132cb9e86d6dba143b4131aecc6b8248bb0e7d913abf981fc0e05730d20005c	360ae8d9f0eba69680865f370d123eef60f89ffc4c118f670a69977282e0e40a
CONTROL_BFULL	BFULL	3	post_attention_layernorm	0	0.04608000069856644	0.04198399931192398	0.04771199822425842	0.045115789674142155	[0.04608000069856644, 0.04608000069856644, 0.04713600128889084, 0.04198399931192398, 0.04310400038957596, 0.04771199822425842, 0.047359999269247055]	892f11e001c93d0155cd1d3ac7e7f637712047dd8036f1567fc8e98bf08cb865	84768be5fd04665506f33dec4e4ca648631cbcfb1e6fa578d87e27771a79433e
CONTROL_BFULL	BFULL	3	post_attention_layernorm	1	0.015359999611973763	0.015359999611973763	0.016383999958634377	0.02277866497850247	[0.01548799965530634, 0.015359999611973763, 0.016383999958634377, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763]	8efd4a8f3885a0b32b0f98d961cd245350903d90405d18929faac4c613e9f530	67fd164dce1f7d1f43c8c225479dd6098831f5c048e5373e94f31716106b3774
CONTROL_BFULL	BFULL	3	post_attention_layernorm	2	0.015359999611973763	0.014336000196635723	0.015359999611973763	0.024185218488022665	[0.014336000196635723, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.015359999611973763, 0.014911999925971031, 0.015359999611973763]	92d05f1ab1b7e4bdd92498390d5c26470edd99c35e3db6b66f9390d6d58131e2	4b48b3842989242e406f5db0164366ad77e1e08422c20e35af6bbb3acc138789
CONTROL_BFULL	BFULL	3	post_attention_layernorm	3	0.015359999611973763	0.014688000082969666	0.01548799965530634	0.01708025602966904	[0.015456000342965126, 0.015359999611973763, 0.015359999611973763, 0.014688000082969666, 0.01548799965530634, 0.015359999611973763, 0.01548799965530634]	5ece731e7b31dd0fec3b2c4830d7595d3af2361e5856fede2201e23edc380e32	69188eb15b513a1826417f3251a92fc3d759252f2967475a8e3994decf92ec22
