phase	decode_step	layer	input_shape	output_shape	output_sha	weight_bytes	kv_key_shape	kv_key_bytes	kv_value_shape	kv_value_bytes
PREFILL		37	[1, 2048, 2048]	[1, 2048, 2048]	3eb93b39432a5cf989765bc7183bc5556a155c996f343c3c0d300d34176704a1	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		38	[1, 2048, 2048]	[1, 2048, 2048]	81b010a721cf58066e97d56862197f5f1bf31627df09bf1c558b2b5007747dc3	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		39	[1, 2048, 2048]	[1, 2048, 2048]	5c25676b8983466f50b348e56bdf0db1444732b57596285bbc31f8aeca2bcc58	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		40	[1, 2048, 2048]	[1, 2048, 2048]	09748515e2d5194330ae425124f5d2561b3a31d0375043c6696f658ed2808bab	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		41	[1, 2048, 2048]	[1, 2048, 2048]	6ede56d67471aa46f640b744cc45fc3aed6c816ea1fb97e9f0ca75d60eb7908d	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		42	[1, 2048, 2048]	[1, 2048, 2048]	5a7b41c4f989f60587faba11214d60a98d91d76188d382e74186a6dcbc2e357b	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		43	[1, 2048, 2048]	[1, 2048, 2048]	a1f23187b85b711cdd9a5614e67fb0fd110c402ae16e5c320fe27b0ea654f3aa	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		44	[1, 2048, 2048]	[1, 2048, 2048]	a23d397226c0c2d126d3ad2bd6f3c86ff332435c5c10240d3f1b48366e697269	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		45	[1, 2048, 2048]	[1, 2048, 2048]	75d574179c856039dd0ba120cd993d5b50f1621d6ea156d349c5aee904839c7a	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		46	[1, 2048, 2048]	[1, 2048, 2048]	e848f24b7e0b7cd550d9656987d534b335e595fbb017ae95d3ec6aa8879417f9	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
PREFILL		47	[1, 2048, 2048]	[1, 2048, 2048]	ea7f55783558837d56cb9b54bf37385420a4e233cf1c3e52c94d092e40df34fe	1246241280	[1, 4, 2048, 128]	2097152	[1, 4, 2048, 128]	2097152
