roi	profile	object_class	metric	value	provenance
decode1	generic	UNKNOWN	l1_lookup_launches	66133118	simulator_runtime_counter
decode1	generic	UNKNOWN	l1_misses	28484	simulator_runtime_counter
decode1	generic	UNKNOWN	l2_fills	142	simulator_runtime_counter
decode1	generic	UNKNOWN	l2_hits	26170	simulator_runtime_counter
decode1	generic	UNKNOWN	l2_lookup_launches	28484	simulator_runtime_counter
decode1	generic	UNKNOWN	l2_misses	2314	simulator_runtime_counter
decode1	generic	UNKNOWN	mshr_allocations	139	simulator_runtime_counter
decode1	generic	UNKNOWN	mshr_merges	2175	simulator_runtime_counter
decode1	generic	UNKNOWN	pte_dram_responses	82	simulator_runtime_counter
decode1	generic	UNKNOWN	pte_l2_only_responses	69	simulator_runtime_counter
decode1	generic	UNKNOWN	pte_memory_wait_cycles_max	480	simulator_runtime_counter
decode1	generic	UNKNOWN	pte_memory_wait_cycles_total	61455	simulator_runtime_counter
decode1	generic	UNKNOWN	pte_requests	151	simulator_runtime_counter
decode1	generic	UNKNOWN	pwc_accesses	417	simulator_runtime_counter
decode1	generic	UNKNOWN	pwc_hits	405	simulator_runtime_counter
decode1	generic	UNKNOWN	pwc_misses	12	simulator_runtime_counter
decode1	generic	UNKNOWN	requester_latency_cycles_max	1984	simulator_runtime_counter
decode1	generic	UNKNOWN	requester_latency_cycles_total	664437695	simulator_runtime_counter
decode1	generic	UNKNOWN	requester_mshr_wait_cycles_max	1893	simulator_runtime_counter
decode1	generic	UNKNOWN	requester_mshr_wait_cycles_total	783819	simulator_runtime_counter
decode1	generic	UNKNOWN	translation_requesters	66133118	simulator_runtime_counter
decode1	generic	UNKNOWN	unique_translation_keys	92	simulator_runtime_counter
decode1	generic	UNKNOWN	walk_starts	139	simulator_runtime_counter
decode1	generic	WEIGHT	completed	7942143	simulator_runtime_counter
decode1	generic	WEIGHT	l1_hits	7912021	simulator_runtime_counter
decode1	generic	WEIGHT	l1_lookup_launches	7942143	simulator_runtime_counter
decode1	generic	WEIGHT	l1_misses	30122	simulator_runtime_counter
decode1	generic	WEIGHT	l2_fills	15443	simulator_runtime_counter
decode1	generic	WEIGHT	l2_hits	10852	simulator_runtime_counter
decode1	generic	WEIGHT	l2_lookup_launches	30122	simulator_runtime_counter
decode1	generic	WEIGHT	l2_misses	19270	simulator_runtime_counter
decode1	generic	WEIGHT	mshr_allocations	15444	simulator_runtime_counter
decode1	generic	WEIGHT	mshr_merges	3826	simulator_runtime_counter
decode1	generic	WEIGHT	pte_dram_responses	3947	simulator_runtime_counter
decode1	generic	WEIGHT	pte_l2_only_responses	11587	simulator_runtime_counter
