roi	profile	metric	value	provenance
prefill	generic	vm_translation_requester_l1_service_cycles_total	939330060	simulator_runtime_counter
prefill	generic	vm_translation_requester_l2_queue_cycles_max	45	simulator_runtime_counter
prefill	generic	vm_translation_requester_l2_queue_cycles_total	434661	simulator_runtime_counter
prefill	generic	vm_translation_requester_l2_service_cycles_max	80	simulator_runtime_counter
prefill	generic	vm_translation_requester_l2_service_cycles_total	99699280	simulator_runtime_counter
prefill	generic	vm_translation_requester_latency_cycles_max	3113	simulator_runtime_counter
prefill	generic	vm_translation_requester_latency_cycles_total	1057797033	simulator_runtime_counter
prefill	generic	vm_translation_requester_mshr_wait_cycles_max	3023	simulator_runtime_counter
prefill	generic	vm_translation_requester_mshr_wait_cycles_total	18333032	simulator_runtime_counter
prefill	generic	vm_translation_stall_cycles	1057797033	simulator_runtime_counter
prefill	generic	vm_translation_waiter_registrations	56467	simulator_runtime_counter
prefill	generic	vm_translation_waiter_wakeups	56467	simulator_runtime_counter
prefill	generic	vm_translation_walk_completions	22783	simulator_runtime_counter
prefill	generic	vm_translation_walk_starts	22783	simulator_runtime_counter
prefill	generic	vm_translation_walkers_active	0	simulator_runtime_counter
prefill	paper	vm_l1_tlb_accesses	94047308	simulator_runtime_counter
prefill	paper	vm_l1_tlb_evictions	1120354	simulator_runtime_counter
prefill	paper	vm_l1_tlb_hits	92925834	simulator_runtime_counter
prefill	paper	vm_l1_tlb_lookup_completions	94047308	simulator_runtime_counter
prefill	paper	vm_l1_tlb_lookup_latency_cycles	10	simulator_runtime_counter
prefill	paper	vm_l1_tlb_lookup_launches	94047308	simulator_runtime_counter
prefill	paper	vm_l1_tlb_lookup_service_cycles	940473080	simulator_runtime_counter
prefill	paper	vm_l1_tlb_misses	1121474	simulator_runtime_counter
prefill	paper	vm_l1_tlb_occupancy	1120	simulator_runtime_counter
prefill	paper	vm_l1_tlb_port_stalls	0	simulator_runtime_counter
prefill	paper	vm_l2_tlb_accesses	1121474	simulator_runtime_counter
prefill	paper	vm_l2_tlb_evictions	20229	simulator_runtime_counter
prefill	paper	vm_l2_tlb_hits	1075630	simulator_runtime_counter
prefill	paper	vm_l2_tlb_lookup_completions	1121474	simulator_runtime_counter
prefill	paper	vm_l2_tlb_lookup_latency_cycles	80	simulator_runtime_counter
prefill	paper	vm_l2_tlb_lookup_launches	1121474	simulator_runtime_counter
prefill	paper	vm_l2_tlb_lookup_service_cycles	89717920	simulator_runtime_counter
prefill	paper	vm_l2_tlb_misses	45844	simulator_runtime_counter
prefill	paper	vm_l2_tlb_occupancy	768	simulator_runtime_counter
prefill	paper	vm_l2_tlb_port_stalls	933399	simulator_runtime_counter
prefill	paper	vm_object_attribution_conservation_pass	1	simulator_runtime_counter
prefill	paper	vm_object_attribution_enabled	1	simulator_runtime_counter
prefill	paper	vm_pte_dram_responses	8794	simulator_runtime_counter
prefill	paper	vm_pte_l2_only_responses	12287	simulator_runtime_counter
prefill	paper	vm_pte_memory_wait_cycles_max	5582	simulator_runtime_counter
prefill	paper	vm_pte_memory_wait_cycles_total	7890698	simulator_runtime_counter
prefill	paper	vm_pte_requests	21081	simulator_runtime_counter
prefill	paper	vm_pte_response_misassociations	0	simulator_runtime_counter
prefill	paper	vm_pte_responses	21081	simulator_runtime_counter
prefill	paper	vm_pwc_accesses	62991	simulator_runtime_counter
prefill	paper	vm_pwc_entries_configured	128	simulator_runtime_counter
prefill	paper	vm_pwc_evictions	0	simulator_runtime_counter
prefill	paper	vm_pwc_hits	62907	simulator_runtime_counter
prefill	paper	vm_pwc_inserts	45	simulator_runtime_counter
prefill	paper	vm_pwc_level_0_accesses	20997	simulator_runtime_counter
prefill	paper	vm_pwc_level_0_hits	20995	simulator_runtime_counter
prefill	paper	vm_pwc_level_0_misses	2	simulator_runtime_counter
prefill	paper	vm_pwc_level_0_pte_requests_skipped	20995	simulator_runtime_counter
prefill	paper	vm_pwc_level_1_accesses	20997	simulator_runtime_counter
prefill	paper	vm_pwc_level_1_hits	20995	simulator_runtime_counter
prefill	paper	vm_pwc_level_1_misses	2	simulator_runtime_counter
prefill	paper	vm_pwc_level_1_pte_requests_skipped	20995	simulator_runtime_counter
prefill	paper	vm_pwc_level_2_accesses	20997	simulator_runtime_counter
prefill	paper	vm_pwc_level_2_hits	20917	simulator_runtime_counter
prefill	paper	vm_pwc_level_2_misses	80	simulator_runtime_counter
prefill	paper	vm_pwc_level_2_pte_requests_skipped	20917	simulator_runtime_counter
prefill	paper	vm_pwc_level_3_accesses	0	simulator_runtime_counter
prefill	paper	vm_pwc_level_3_hits	0	simulator_runtime_counter
prefill	paper	vm_pwc_level_3_misses	0	simulator_runtime_counter
prefill	paper	vm_pwc_level_3_pte_requests_skipped	0	simulator_runtime_counter
prefill	paper	vm_pwc_lookup_latency_cycles	1	simulator_runtime_counter
prefill	paper	vm_pwc_misses	84	simulator_runtime_counter
prefill	paper	vm_pwc_mode	1	simulator_runtime_counter
prefill	paper	vm_pwc_occupancy	45	simulator_runtime_counter
prefill	paper	vm_pwc_occupancy_high_watermark	45	simulator_runtime_counter
prefill	paper	vm_pwc_service_cycles	62991	simulator_runtime_counter
prefill	paper	vm_translation_lookup_inflight_bypasses	936363949	simulator_runtime_counter
prefill	paper	vm_translation_lookup_requests	94047308	simulator_runtime_counter
prefill	paper	vm_translation_mshr_active	0	simulator_runtime_counter
prefill	paper	vm_translation_mshr_allocations	20997	simulator_runtime_counter
prefill	paper	vm_translation_mshr_entries_completed	20997	simulator_runtime_counter
