profile_id	kernel_index	nvtx_range_evidence	kernel_name	grid_size	block_size	profiler_replayer_passes	metric_name	unit	value
TEXT_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	0	"1232814  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	271695872.0
TEXT_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	0	"1232814  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	141642080.0
TEXT_down_proj_M1_RAW_DENSE_MEMORY_PRESSURE	0	"1232814  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	135876992.0
TEXT_down_proj_M1_RAW_SPARSE_PAGE_PRESSURE	0	"1232729  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	271695872.0
TEXT_down_proj_M1_RAW_SPARSE_PAGE_PRESSURE	0	"1232729  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	141621696.0
TEXT_down_proj_M1_RAW_SPARSE_PAGE_PRESSURE	0	"1232729  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_SPARSE_PAGE_PRESSURE:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	135844096.0
TEXT_down_proj_M1_RAW_WARM	0	"1232587  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_WARM:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	271695872.0
TEXT_down_proj_M1_RAW_WARM	0	"1232587  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_WARM:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	141611136.0
TEXT_down_proj_M1_RAW_WARM	0	"1232587  ""<default domain>:C16_E1_RES_TEXT_DOWN_PROJ_M1_RAW_WARM:none:none:none:none:none:none"""	enable_if<!T7, void>::type kernel<int, int, __half, __half, __half, float, 0, 1, 1, 0, 7, 0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<const __half>, cublasGemvTensorStridedBatched<__half>, float>>(T13)	(896, 1, 1)	(32, 4, 1)	1	dram__bytes.sum	byte	135854592.0
TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	0	"1232511  ""<default domain>:C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	l1tex__t_bytes.sum	byte	8859648.0
TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	0	"1232511  ""<default domain>:C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	lts__t_bytes.sum	byte	7880064.0
TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	0	"1232511  ""<default domain>:C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)	(224, 1, 1)	(32, 2, 1)	1	dram__bytes.sum	byte	6694144.0
TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	1	"1232511  ""<default domain>:C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	l1tex__t_bytes.sum	byte	86016.0
TEXT_q_proj_M1_AWQ_DENSE_MEMORY_PRESSURE	1	"1232511  ""<default domain>:C16_E1_RES_TEXT_Q_PROJ_M1_AWQ_DENSE_MEMORY_PRESSURE:none:none:none:none:none:none"""	void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)	(7, 1, 1)	(32, 4, 1)	1	lts__t_bytes.sum	byte	600832.0
