metric	pre_q05_cumulative	post_q05_cumulative	target_delta
vm_translation_requester_l2_queue_cycles_total	9807	10641	834
vm_translation_requester_l2_service_cycles_max	80	80	0
vm_translation_requester_l2_service_cycles_total	5048960	5320640	271680
vm_translation_requester_latency_cycles_max	1972	2013	41
vm_translation_requester_latency_cycles_total	82629034	113892846	31263812
vm_translation_requester_mshr_wait_cycles_max	1882	1923	41
vm_translation_requester_mshr_wait_cycles_total	686697	773875	87178
vm_translation_stale_fills_discarded	0	0	0
vm_translation_stale_ready_discards	0	0	0
vm_translation_stale_waiters_discarded	0	0	0
vm_translation_stall_cycles	82629034	113892846	31263812
vm_translation_virtual_address_bits	49	49	0
vm_translation_waiter_registrations	1957	2065	108
vm_translation_waiter_wakeups	1957	2065	108
vm_translation_walk_completions	484	499	15
vm_translation_walk_starts	484	499	15
vm_translation_walkers_active	0	0	0
vm_weight_segment_active_epoch	0	0	0
vm_weight_segment_both_miss	0	0	0
vm_weight_segment_descriptors_loaded	1	1	0
vm_weight_segment_effective_l1_hits	0	0	0
vm_weight_segment_effective_l1_misses	0	0	0
vm_weight_segment_entries_configured	0	0	0
vm_weight_segment_epoch_wrap_quiesces	0	0	0
vm_weight_segment_fallback_asid	0	0	0
vm_weight_segment_fallback_boundary	0	0	0
vm_weight_segment_fallback_epoch	0	0	0
vm_weight_segment_fallback_no_descriptor	0	0	0
vm_weight_segment_fallback_rights	0	0	0
vm_weight_segment_first_owners	0	0	0
vm_weight_segment_hits	0	0	0
vm_weight_segment_install_acks	0	0	0
vm_weight_segment_install_attempts	0	0	0
vm_weight_segment_install_rejections	0	0	0
vm_weight_segment_install_replica_acks	0	0	0
vm_weight_segment_l1_fills_suppressed	0	0	0
vm_weight_segment_l1_first_owners	0	0	0
vm_weight_segment_l2_suppressed	0	0	0
vm_weight_segment_late_result_discards	0	0	0
vm_weight_segment_lifecycle_active_asid	0	0	0
vm_weight_segment_lifecycle_active_epoch	0	0	0
vm_weight_segment_local_accepts_per_cycle	1	1	0
vm_weight_segment_local_table_entries	0	0	0
vm_weight_segment_local_table_replicas	0	0	0
vm_weight_segment_lookup_accepts	0	0	0
vm_weight_segment_lookup_attempts	0	0	0
vm_weight_segment_lookup_completions	0	0	0
